V0000330143	それはとってもいい話だ。	それ	それはとってもいい 話[はなし]だ。	
V0000331241	ポストはそこの曲がり角にあります。	曲がり角	ポストはそこの 曲[ま]がり 角[かど]にあります。	
V0000331242	私たちは彼を家族同様に思っている。	同様	私[わたし]たちは 彼[かれ]を 家族[かぞく] 同様[どうよう]に 思[おも]っている。	
V0000331243	弟はアイスクリームが大好きです。	アイスクリーム	弟[おとうと]はアイスクリームが 大好[だいす]きです。	
V0000331244	この文には間違いがあります。	間違い	この 文[ぶん]には 間違[まちが]いがあります。	
V0000331245	電話番号を間違えました。	間違える	電話番号[でんわ ばんごう]を 間違[まちが]えました。	
V0000331246	あなたは間違っている。	間違う	あなたは 間違[まちが]っている。	
V0000331247	私は母に似ています。	似ている	私[わたし]は 母[はは]に 似[に]ています。	
V0000331248	あの子はおしゃれだね。	おしゃれ	あの 子[こ]はおしゃれだね。	
V0000331249	飛行機が1時間以上遅れた。	以上	飛行機[ひこうき]が 1時間[いちじかん] 以上[いじょう] 遅[おく]れた。	
V0000331250	彼女は旅行が好きです。	旅行	彼女[かのじょ]は 旅行[りょこう]が 好[す]きです。	
V0000331251	彼は大使館に勤めています。	大使館	彼[かれ]は 大使館[たいしかん]に 勤[つと]めています。	
V0000331252	京都では旅館に泊まりました。	旅館	京都[きょうと]では 旅館[りょかん]に 泊[と]まりました。	
V0000331253	このジュースは甘すぎる。	ジュース	このジュースは 甘[あま]すぎる。	
V0000331254	彼と近くの映画館に行きました。	映画館	彼[かれ]と 近[ちか]くの 映画館[えいがかん]に 行[い]きました。	
V0000331255	友達と一緒に宿題をした。	宿題	友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]をした。	
V0000331256	友達をうちに泊めてあげました。	泊める	友達[ともだち]をうちに 泊[と]めてあげました。	
V0000331257	お正月には色々な遊びをします。	遊び	お 正月[しょうがつ]には 色々[いろいろ]な 遊[あそ]びをします。	
V0000331258	今日の交通事故はゼロです。	ゼロ	今日[きょう]の 交通事故[こうつう じこ]はゼロです。	
V0000331259	今日は洋服を買いに行きます。	洋服	今日[きょう]は 洋服[ようふく]を 買[か]いに 行[い]きます。	
V0000331260	私の教室は3階にあります。	教室	私[わたし]の 教室[きょうしつ]は 3階[さんがい]にあります。	
V0000331261	図書室で勉強した。	図書室	図書室[としょしつ]で 勉強[べんきょう]した。	
V0000331262	窓を開けてください。	窓	窓[まど]を 開[あ]けてください。	
V0000331263	娘がピンクのドレスを着ている。	ピンク	娘[むすめ]がピンクのドレスを 着[き]ている。	
V0000331264	週末、親しい友達を家に呼んだ。	親しい	週末[しゅうまつ]、 親[した]しい 友達[ともだち]を 家[いえ]に 呼[よ]んだ。	
V0000331265	親切にしてくださってどうもありがとうございます。	親切	親切[しんせつ]にしてくださってどうもありがとうございます。	
V0000331266	その店員は不親切だった。	不親切	その 店員[てんいん]は 不親切[ふしんせつ]だった。	
V0000331267	うちは五人家族です。	家族	うちは 五人[ごにん] 家族[かぞく]です。	
V0000331268	これはきれいなグラスですね。	グラス	これはきれいなグラスですね。	
V0000331269	勝った、万歳!	万歳	勝[か]った、 万歳[ばんざい]!	
V0000331270	妹は来年、二十歳になります。	二十歳	妹[いもうと]は 来年[らいねん]、 二十歳[はたち]になります。	
V0000331271	姉さん、ごめんね。	姉さん	姉[ねえ]さん、ごめんね。	
V0000331272	兄さん、おめでとう。	兄さん	兄[にい]さん、おめでとう。	
V0000331273	彼女はダンスが大好きです。	ダンス	彼女[かのじょ]はダンスが 大好[だいす]きです。	
V0000331274	彼は3人兄弟です。	兄弟	彼[かれ]は 3人[さんにん] 兄弟[きょうだい]です。	
V0000331275	引っ越しを業者に頼んだ。	業者	引[ひ]っ 越[こ]しを 業者[ぎょうしゃ]に 頼[たの]んだ。	
V0000331276	最近の若者は本を読まない。	若者	最近[さいきん]の 若者[わかもの]は 本[ほん]を 読[よ]まない。	
V0000331277	彼らはバスケットの選手です。	彼ら	彼[かれ]らはバスケットの 選手[せんしゅ]です。	
V0000331278	おじは銀行に勤めています。	おじ	おじは 銀行[ぎんこう]に 勤[つと]めています。	
V0000331279	ファイルを結合して1つにしました。	結合	ファイルを 結合[けつごう]して 1[ひと]つにしました。	
V0000331280	試合の結果を早く知りたい。	結果	試合[しあい]の 結果[けっか]を 早[はや]く 知[し]りたい。	
V0000331281	デザートに果物を食べましょう。	果物	デザートに 果物[くだもの]を 食[た]べましょう。	
V0000331282	夏休みの課題は何ですか。	課題	夏休[なつやす]みの 課題[かだい]は 何[なん]ですか。	
V0000331283	彼はサッカーの選手です。	サッカー	彼[かれ]はサッカーの 選手[せんしゅ]です。	
V0000331284	今から課のミーティングがある。	課	今[いま]から 課[か]のミーティングがある。	
V0000331285	この薬には胃を守る効果がある。	効果	この 薬[くすり]には 胃[い]を 守[まも]る 効果[こうか]がある。	
V0000331286	彼は自動車会社に就職した。	自動車	彼[かれ]は 自動車[じどうしゃ] 会社[がいしゃ]に 就職[しゅうしょく]した。	
V0000331287	みんなで自然を守りましょう。	自然	みんなで 自然[しぜん]を 守[まも]りましょう。	
V0000331288	母がコーンスープを作っている。	スープ	母[はは]がコーンスープを 作[つく]っている。	
V0000331289	親が子供を守るのは自然なことだ。	自然	親[おや]が 子供[こども]を 守[まも]るのは 自然[しぜん]なことだ。	
V0000331290	明日は自習の時間がある。	自習	明日[あす]は 自習[じしゅう]の 時間[じかん]がある。	
V0000331291	遅れた理由を教えてください。	理由	遅[おく]れた 理由[りゆう]を 教[おし]えてください。	
V0000331292	今日は自由な時間が多い。	自由	今日[きょう]は 自由[じゆう]な 時間[じかん]が 多[おお]い。	
V0000331293	私は毎朝バナナを食べます。	バナナ	私[わたし]は 毎朝[まいあさ]バナナを 食[た]べます。	
V0000331294	彼はキリストを信じている。	信じる	彼[かれ]はキリストを 信[しん]じている。	
V0000331295	信号が青になった。	信号	信号[しんごう]が 青[あお]になった。	
V0000331296	私はハンバーガーを頼みました。	頼む	私[わたし]はハンバーガーを 頼[たの]みました。	
V0000331297	市民の安全は大切だ。	市民	市民[しみん]の 安全[あんぜん]は 大切[たいせつ]だ。	
V0000331298	この通りは車の音がうるさい。	うるさい	この 通[とお]りは 車[くるま]の 音[おと]がうるさい。	
V0000331299	地域の住民が集まって話合いをした。	住民	地域[ちいき]の 住民[じゅうみん]が 集[あつ]まって 話合[はなしあ]いをした。	
V0000331300	主人は今、留守です。	主人	主人[しゅじん]は 今[いま]、 留守[るす]です。	
V0000331301	彼は国会議員です。	議員	彼[かれ]は 国会[こっかい] 議員[ぎいん]です。	
V0000331302	今日の午後、大事な会議があります。	会議	今日[きょう]の 午後[ごご]、 大事[だいじ]な 会議[かいぎ]があります。	
V0000331303	あそこにパトカーがいる。	パトカー	あそこにパトカーがいる。	
V0000331304	その質問に対する答えが見つからなかった。	対する	その 質問[しつもん]に 対[たい]する 答[こた]えが 見[み]つからなかった。	
V0000331305	その2社は対立しています。	対立	その 2社[にしゃ]は 対立[たいりつ]しています。	
V0000331306	私は反対です。	反対	私[わたし]は 反対[はんたい]です。	
V0000331307	彼はその問題の答えが分からない。	答え	彼[かれ]はその 問題[もんだい]の 答[こた]えが 分[わ]からない。	
V0000331308	今日の昼ご飯はハンバーガーでした。	ハンバーガー	今日[きょう]の 昼[ひる]ご 飯[はん]はハンバーガーでした。	
V0000331309	特に質問はありません。	特に	特[とく]に 質問[しつもん]はありません。	
V0000331310	東京まで特急で3時間かかります。	特急	東京[とうきょう]まで 特急[とっきゅう]で 3時間[さんじかん]かかります。	
V0000331311	あなたは私にとって特別な人です。	特別	あなたは 私[わたし]にとって 特別[とくべつ]な 人[ひと]です。	
V0000331312	別々に払いましょう。	別々	別々[べつべつ]に 払[はら]いましょう。	
V0000331313	3階までエスカレーターで行きましょう。	エスカレーター	3階[さんかい]までエスカレーターで 行[い]きましょう。	
V0000331314	駅で友だちと別れました。	別れる	駅[えき]で 友[とも]だちと 別[わか]れました。	
V0000331315	一般の方はこちらの席へどうぞ。	一般	一般[いっぱん]の 方[かた]はこちらの 席[せき]へどうぞ。	
V0000331316	彼が来た目的が分かりません。	目的	彼[かれ]が 来[き]た 目的[もくてき]が 分[わ]かりません。	
V0000331317	彼女は普通の女の子だ。	普通	彼女[かのじょ]は 普通[ふつう]の 女[おんな]の 子[こ]だ。	
V0000331318	私はタオルで顔をふいた。	タオル	私[わたし]はタオルで 顔[かお]をふいた。	
V0000331319	ここに並んでください。	並ぶ	ここに 並[なら]んでください。	
V0000331320	私は料理をテーブルに並べた。	並べる	私[わたし]は 料理[りょうり]をテーブルに 並[なら]べた。	
V0000331321	この国は平和です。	平和	この 国[くに]は 平和[へいわ]です。	
V0000331322	弟が高等学校を卒業しました。	高等学校	弟[おとうと]が 高等学校[こうとうがっこう]を 卒業[そつぎょう]しました。	
V0000331323	彼は毎日パチンコをしています。	パチンコ	彼[かれ]は 毎日[まいにち]パチンコをしています。	
V0000331324	病院はどこですか。	病院	病院[びょういん]はどこですか。	
V0000331325	昨日、母が入院しました。	入院	昨日[きのう]、 母[はは]が 入院[にゅういん]しました。	
V0000331326	彼は大学院に進みました。	大学院	彼[かれ]は 大学院[だいがくいん]に 進[すす]みました。	
V0000331327	私は医者に相談した。	医者	私[わたし]は 医者[いしゃ]に 相談[そうだん]した。	
V0000331328	みかんを1つください。	みかん	みかんを 1[ひと]つください。	
V0000331329	熱があるのでお医者さんに行った。	お医者さん	熱[ねつ]があるのでお 医者[いしゃ]さんに 行[い]った。	
V0000331330	私は歯医者が嫌いです。	歯医者	私[わたし]は 歯医者[はいしゃ]が 嫌[きら]いです。	
V0000331331	私の歯は丈夫です。	歯	私[わたし]の 歯[は]は 丈夫[じょうぶ]です。	
V0000331332	新しい歯ブラシが必要だ。	歯ブラシ	新[あたら]しい 歯[は]ブラシが 必要[ひつよう]だ。	
V0000331333	誕生日にケーキを食べました。	ケーキ	誕生日[たんじょうび]にケーキを 食[た]べました。	
V0000331334	科学は常に進歩している。	科学	科学[かがく]は 常[つね]に 進歩[しんぽ]している。	
V0000331335	日本語の教科書を忘れた。	教科書	日本語[にほんご]の 教科書[きょうかしょ]を 忘[わす]れた。	
V0000331336	私は理科が得意です。	理科	私[わたし]は 理科[りか]が 得意[とくい]です。	
V0000331337	おととい、昔の友人が亡くなった。	亡くなる	おととい、 昔[むかし]の 友人[ゆうじん]が 亡[な]くなった。	
V0000331338	私は毎朝コップ一杯の水を飲む。	コップ	私[わたし]は 毎朝[まいあさ]コップ 一杯[いっぱい]の 水[みず]を 飲[の]む。	
V0000331339	忙しいので手伝ってください。	忙しい	忙[いそが]しいので 手伝[てつだ]ってください。	
V0000331340	私は疲れてふらふらです。	疲れる	私[わたし]は 疲[つか]れてふらふらです。	
V0000331341	彼は今、禁煙しています。	禁煙	彼[かれ]は 今[いま]、 禁煙[きんえん]しています。	
V0000331342	彼はただの酔っ払いです。	酔っ払い	彼[かれ]はただの 酔[よ]っ 払[ぱら]いです。	
V0000331343	このジャケットはナイロンでできています。	ナイロン	このジャケットはナイロンでできています。	
V0000331344	昨夜は酔っ払いました。	酔っ払う	昨夜[ゆうべ]は 酔[よ]っ 払[ぱら]いました。	
V0000331345	その道は車が多くて危ない。	危ない	その 道[みち]は 車[くるま]が 多[おお]くて 危[あぶ]ない。	
V0000331346	その地域は今、危険だ。	危険	その 地域[ちいき]は 今[いま]、 危険[きけん]だ。	
V0000331347	宇宙人は存在すると思いますか。	存在	宇宙人[うちゅうじん]は 存在[そんざい]すると 思[おも]いますか。	
V0000331348	あのスーツはそんなに高くない。	スーツ	あのスーツはそんなに 高[たか]くない。	
V0000331349	私たちはその会社に注目している。	注目	私[わたし]たちはその 会社[かいしゃ]に 注目[ちゅうもく]している。	
V0000331350	レストランでピザを注文しました。	注文	レストランでピザを 注文[ちゅうもん]しました。	
V0000331351	それはどういう意味ですか。	意味	それはどういう 意味[いみ]ですか。	
V0000331352	あなたの意見が聞きたいです。	意見	あなたの 意見[いけん]が 聞[き]きたいです。	
V0000331353	この遊園地のチケットは3000円です。	チケット	この 遊園地[ゆうえんち]のチケットは 3000円[さんぜんえん]です。	
V0000331354	車に注意してください。	注意	車[くるま]に 注意[ちゅうい]してください。	
V0000331355	食事の用意ができました。	用意	食事[しょくじ]の 用意[ようい]ができました。	
V0000331356	彼の昇進は確かだ。	確か	彼[かれ]の 昇進[しょうしん]は 確[たし]かだ。	
V0000331357	もう一度、予約を確認した。	確認	もう 一度[いちど]、 予約[よやく]を 確認[かくにん]した。	
V0000331358	妹はチョコレートが大好きです。	チョコレート	妹[いもうと]はチョコレートが 大好[だいす]きです。	
V0000331359	このソフトにはいろいろな機能があります。	機能	このソフトにはいろいろな 機能[きのう]があります。	
V0000331360	ジェット機が飛んでいる。	ジェット機	ジェット 機[き]が 飛[と]んでいる。	
V0000331361	新しい機械が壊れた。	機械	新[あたら]しい 機械[きかい]が 壊[こわ]れた。	
V0000331362	サラダの材料をそろえました。	材料	サラダの 材料[ざいりょう]をそろえました。	
V0000331363	テレビのチャンネルを変えてください。	チャンネル	テレビのチャンネルを 変[か]えてください。	
V0000331364	具体的な例をいくつか見せてください。	具体的	具体的[ぐたいてき]な 例[れい]をいくつか 見[み]せてください。	
V0000331365	この話は真実に基づいています。	基づく	この 話[はなし]は 真実[しんじつ]に 基[もと]づいています。	
V0000331366	今、ジャズダンスの基本を習っています。	基本	今[いま]、ジャズダンスの 基本[きほん]を 習[なら]っています。	
V0000331367	判断の基準が示された。	基準	判断[はんだん]の 基準[きじゅん]が 示[しめ]された。	
V0000331368	彼の話はつまらないですね。	つまらない	彼[かれ]の 話[はなし]はつまらないですね。	
V0000331369	災害に備えて大量の水を買い込んだ。	備える	災害[さいがい]に 備[そな]えて 大量[たいりょう]の 水[みず]を 買[か]い 込[こ]んだ。	
V0000331370	明日の会議の準備をした。	準備	明日[あす]の 会議[かいぎ]の 準備[じゅんび]をした。	
V0000331371	兄は船の設計をしています。	設計	兄[あに]は 船[ふね]の 設計[せっけい]をしています。	
V0000331372	そのホテルにはレジャー施設がたくさんある。	施設	そのホテルにはレジャー 施設[しせつ]がたくさんある。	
V0000331373	マッチを持っていますか。	マッチ	マッチを 持[も]っていますか。	
V0000331374	授業の終わりに復習の時間を設けた。	設ける	授業[じゅぎょう]の 終[お]わりに 復習[ふくしゅう]の 時間[じかん]を 設[もう]けた。	
V0000331375	この単語の意味を説明してください。	説明	この 単語[たんご]の 意味[いみ]を 説明[せつめい]してください。	
V0000331376	私は月に3冊くらい小説を読みます。	小説	私[わたし]は 月[つき]に 3冊[さんさつ]くらい 小説[しょうせつ]を 読[よ]みます。	
V0000331377	その映画は今日、公開されます。	公開	その 映画[えいが]は 今日[きょう]、 公開[こうかい]されます。	
V0000331378	従兄弟と私は同じ年です。	いとこ	従兄弟[いとこ]と 私[わたし]は 同[おな]じ 年[とし]です。	
V0000331379	子供たちが公園で遊んでいる。	公園	子供[こども]たちが 公園[こうえん]で 遊[あそ]んでいる。	
V0000331380	昨日子供たちと動物園に行きました。	動物園	昨日子供[きのう こども]たちと 動物園[どうぶつえん]に 行[い]きました。	
V0000331381	彼女は祭りが大好きです。	祭り	彼女[かのじょ]は 祭[まつ]りが 大好[だいす]きです。	
V0000331382	ここで国際会議が開かれます。	国際	ここで 国際[こくさい] 会議[かいぎ]が 開[ひら]かれます。	
V0000331383	うちではまだストーブを使っています。	ストーブ	うちではまだストーブを 使[つか]っています。	
V0000331384	彼は実際にはあまり背が高くない。	実際	彼[かれ]は 実際[じっさい]にはあまり 背[せ]が 高[たか]くない。	
V0000331385	バスが飛行場に着きました。	飛行場	バスが 飛行場[ひこうじょう]に 着[つ]きました。	
V0000331386	航空便で書類が届きました。	航空便	航空便[こうくうびん]で 書類[しょるい]が 届[とど]きました。	
V0000331387	アメリカの友人から船便が届いた。	船便	アメリカの 友人[ゆうじん]から 船便[ふなびん]が 届[とど]いた。	
V0000331388	この近くにガソリンスタンドはありますか。	ガソリンスタンド	この 近[ちか]くにガソリンスタンドはありますか。	
V0000331389	私たちは船に乗った。	船	私[わたし]たちは 船[ふね]に 乗[の]った。	
V0000331390	空港までリムジンバスで行った。	空港	空港[くうこう]までリムジンバスで 行[い]った。	
V0000331391	港に船が着きました。	港	港[みなと]に 船[ふね]が 着[つ]きました。	
V0000331392	日本は島国です。	島	日本[にっぽん]は 島[しま] 国[ぐに]です。	
V0000331393	デートで遊園地に行きました。	デート	デートで 遊園地[ゆうえんち]に 行[い]きました。	
V0000331394	新しいホームページが完成した。	完成	新[あたら]しいホームページが 完成[かんせい]した。	
V0000331395	彼女は平成3年生まれです。	平成	彼女[かのじょ]は 平成[へいせい] 3年生[さんねんう]まれです。	
V0000331396	ついに実験が成功した。	成功	ついに 実験[じっけん]が 成功[せいこう]した。	
V0000331397	この事故の原因は何ですか。	原因	この 事故[じこ]の 原因[げんいん]は 何[なん]ですか。	
V0000331398	ふすまを閉めてください。	ふすま	ふすまを 閉[し]めてください。	
V0000331399	私たちは今、結婚資金を貯めています。	資金	私[わたし]たちは 今[いま]、 結婚[けっこん] 資金[しきん]を 貯[た]めています。	
V0000331400	私は4つの会社に投資しています。	投資	私[わたし]は 4[よっ]つの 会社[かいしゃ]に 投資[とうし]しています。	
V0000331401	彼が元気になるよう願っています。	願う	彼[かれ]が 元気[げんき]になるよう 願[ねが]っています。	
V0000331402	彼の計算は正確です。	正確	彼[かれ]の 計算[けいさん]は 正確[せいかく]です。	
V0000331403	紅茶にレモンを入れて飲んだ。	レモン	紅茶[こうちゃ]にレモンを 入[い]れて 飲[の]んだ。	
V0000331404	それは正しい答えです。	正しい	それは 正[ただ]しい 答[こた]えです。	
V0000331405	お正月にはたいてい、家族が集まる。	正月	お 正月[しょうがつ]にはたいてい、 家族[かぞく]が 集[あつ]まる。	
V0000331406	彼女はとても正直だ。	正直	彼女[かのじょ]はとても 正直[しょうじき]だ。	
V0000331407	彼と私はいつも意見が異なる。	異なる	彼[かれ]と 私[わたし]はいつも 意見[いけん]が 異[こと]なる。	
V0000331408	チーズを一切れ食べました。	チーズ	チーズを 一切[ひとき]れ 食[た]べました。	
V0000331409	通常は夜8時まで営業しています。	通常	通常[つうじょう]は 夜8時[よる はちじ]まで 営業[えいぎょう]しています。	
V0000331410	これは非常に重要です。	非常に	これは 非常[ひじょう]に 重要[じゅうよう]です。	
V0000331411	この単語の意味を辞書で調べましょう。	調べる	この 単語[たんご]の 意味[いみ]を 辞書[じしょ]で 調[しら]べましょう。	
V0000331412	彼は良いところだけを強調した。	強調	彼[かれ]は 良[よ]いところだけを 強調[きょうちょう]した。	
V0000331413	今日は群馬までドライブしました。	ドライブ	今日[きょう]は 群馬[ぐんま]までドライブしました。	
V0000331414	私の一番好きな季節は春です。	季節	私[わたし]の 一番好[いちばん す]きな 季節[きせつ]は 春[はる]です。	
V0000331415	私たちがその問題を調査しています。	調査	私[わたし]たちがその 問題[もんだい]を 調査[ちょうさ]しています。	
V0000331416	彼がパーティー会場を提供してくれました。	提供	彼[かれ]がパーティー 会場[かいじょう]を 提供[ていきょう]してくれました。	
V0000331417	そのアイデアは彼の提案です。	提案	そのアイデアは 彼[かれ]の 提案[ていあん]です。	
V0000331418	テニスのラケットを買いました。	ラケット	テニスのラケットを 買[か]いました。	
V0000331419	私が中をご案内します。	案内	私[わたし]が 中[なか]をご 案内[あんない]します。	
V0000331420	彼は新製品に興味を示している。	示す	彼[かれ]は 新製品[しんせいひん]に 興味[きょうみ]を 示[しめ]している。	
V0000331421	私も連れて行ってください。	連れて行く	私[わたし]も 連[つ]れて 行[い]ってください。	
V0000331422	息子が友達を連れて来ました。	連れて来る	息子[むすこ]が 友達[ともだち]を 連[つ]れて 来[き]ました。	
V0000331423	彼女はスチュワーデスになった。	スチュワーデス	彼女[かのじょ]はスチュワーデスになった。	
V0000331424	仕事を続けてください。	続ける	仕事[しごと]を 続[つづ]けてください。	
V0000331425	試合の相手は誰ですか。	相手	試合[しあい]の 相手[あいて]は 誰[だれ]ですか。	
V0000331426	会談の内容が発表されました。	会談	会談[かいだん]の 内容[ないよう]が 発表[はっぴょう]されました。	
V0000331427	相談したいことがあります。	相談	相談[そうだん]したいことがあります。	
V0000331428	テープレコーダーで自分の声を録音しました。	テープレコーダー	テープレコーダーで 自分[じぶん]の 声[こえ]を 録音[ろくおん]しました。	
V0000331429	彼は新聞記者です。	記者	彼[かれ]は 新聞[しんぶん] 記者[きしゃ]です。	
V0000331430	マラソンで世界記録が出た。	記録	マラソンで 世界[せかい] 記録[きろく]が 出[で]た。	
V0000331431	そのラジオ番組はもう録音しました。	録音	そのラジオ 番組[ばんぐみ]はもう 録音[ろくおん]しました。	
V0000331432	私たちは昨年、富士山に登りました。	登る	私[わたし]たちは 昨年[さくねん]、 富士山[ふじさん]に 登[のぼ]りました。	
V0000331433	父はひげをはやしています。	ひげ	父[ちち]はひげをはやしています。	
V0000331434	その問題に関する記事を読みました。	関する	その 問題[もんだい]に 関[かん]する 記事[きじ]を 読[よ]みました。	
V0000331435	関連のセクションへ連絡した。	関連	関連[かんれん]のセクションへ 連絡[れんらく]した。	
V0000331436	彼はその事件に関係がない。	関係	彼[かれ]はその 事件[じけん]に 関係[かんけい]がない。	
V0000331437	この状況では出発は難しいです。	状況	この 状況[じょうきょう]では 出発[しゅっぱつ]は 難[むずか]しいです。	
V0000331438	赤ちゃんがぐっすり寝ている。	ぐっすり	赤[あか]ちゃんがぐっすり 寝[ね]ている。	
V0000331439	ここは道の状態がとても悪いです。	状態	ここは 道[みち]の 状態[じょうたい]がとても 悪[わる]いです。	
V0000331440	けがはもう治りましたか。	治る	けがはもう 治[なお]りましたか。	
V0000331441	私は政治に関心がある。	政治	私[わたし]は 政治[せいじ]に 関心[かんしん]がある。	
V0000331442	早く風邪を治してください。	治す	早[はや]く 風邪[かぜ]を 治[なお]してください。	
V0000331443	ソースはどれですか。	ソース	ソースはどれですか。	
V0000331444	そのデモについて政府は何もしなかった。	政府	そのデモについて 政府[せいふ]は 何[なに]もしなかった。	
V0000331445	党の代表が質問に答えました。	党	党[とう]の 代表[だいひょう]が 質問[しつもん]に 答[こた]えました。	
V0000331446	一緒に対策を考えましょう。	対策	一緒[いっしょ]に 対策[たいさく]を 考[かんが]えましょう。	
V0000331447	新しい政策はあまり良いとは思えません。	政策	新[あたら]しい 政策[せいさく]はあまり 良[い]いとは 思[おも]えません。	
V0000331448	母は古いタイプライターを持っています。	タイプライター	母[はは]は 古[ふる]いタイプライターを 持[も]っています。	
V0000331449	良い家を選ぶのは難しい。	選ぶ	良[よ]い 家[いえ]を 選[えら]ぶのは 難[むずか]しい。	
V0000331450	彼はプロのサッカー選手だ。	選手	彼[かれ]はプロのサッカー 選手[せんしゅ]だ。	
V0000331451	彼は選挙に出るつもりだ。	選挙	彼[かれ]は 選挙[せんきょ]に 出[で]るつもりだ。	
V0000331452	会長の候補は3人います。	候補	会長[かいちょう]の 候補[こうほ]は 3人[さんにん]います。	
V0000331453	私はトマトが大好きです。	トマト	私[わたし]はトマトが 大好[だいす]きです。	
V0000331454	今の首相はあまり力がない。	首相	今[いま]の 首相[しゅしょう]はあまり 力[ちから]がない。	
V0000331455	東京は日本の首都です。	首都	東京[とうきょう]は 日本[にっぽん]の 首都[しゅと]です。	
V0000331456	彼は行政を改革したいと思っている。	改革	彼[かれ]は 行政[ぎょうせい]を 改革[かいかく]したいと 思[おも]っている。	
V0000331457	革のベルトを買いました。	革	革[かわ]のベルトを 買[か]いました。	
V0000331458	パンにバターをぬって食べました。	バター	パンにバターをぬって 食[た]べました。	
V0000331459	彼女は命令に従わなかった。	命令	彼女[かのじょ]は 命令[めいれい]に 従[したが]わなかった。	
V0000331460	私はこの番組が好きです。	番組	私[わたし]はこの 番組[ばんぐみ]が 好[す]きです。	
V0000331461	日曜日に本棚を組み立てます。	組み立てる	日曜日[にちようび]に 本棚[ほんだな]を 組[く]み 立[た]てます。	
V0000331462	彼はある組織のリーダーだ。	組織	彼[かれ]はある 組織[そしき]のリーダーだ。	
V0000331463	妹はバレーボールが得意です。	バレーボール	妹[いもうと]はバレーボールが 得意[とくい]です。	
V0000331464	早く授業を進めましょう。	進める	早[はや]く 授業[じゅぎょう]を 進[すす]めましょう。	
V0000331465	前に進んでください。	進む	前[まえ]に 進[すす]んでください。	
V0000331466	彼女は来年、大学に進学する。	進学	彼女[かのじょ]は 来年[らいねん]、 大学[だいがく]に 進学[しんがく]する。	
V0000331467	この図を拡大コピーしてください。	拡大	この 図[ず]を 拡大[かくだい]コピーしてください。	
V0000331468	晩ご飯のおかずは何?	おかず	晩[ばん]ご 飯[はん]のおかずは 何?[なに]	
V0000331469	彼は失敗の責任を取って、会社を辞めた。	責任	彼[かれ]は 失敗[しっぱい]の 責任[せきにん]を 取[と]って、 会社[かいしゃ]を 辞[や]めた。	
V0000331470	彼は会社を辞めます。	辞める	彼[かれ]は 会社[かいしゃ]を 辞[や]めます。	
V0000331471	彼女は辞書をよく使います。	辞書	彼女[かのじょ]は 辞書[じしょ]をよく 使[つか]います。	
V0000331472	毎朝、通勤に30分かかります。	通勤	毎朝[まいあさ]、 通勤[つうきん]に 30分[さんじゅっぷん]かかります。	
V0000331473	カレンダーに予定を書いた。	カレンダー	カレンダーに 予定[よてい]を 書[か]いた。	
V0000331474	私は銀行に勤めています。	勤める	私[わたし]は 銀行[ぎんこう]に 勤[つと]めています。	
V0000331475	後で事務所に来てください。	事務所	後[あと]で 事務所[じむしょ]に 来[き]てください。	
V0000331476	事務室でコピーを取って来ます。	事務室	事務室[じむしつ]でコピーを 取[と]って 来[き]ます。	
V0000331477	このプリンターは従来のものより速い。	従来	このプリンターは 従来[じゅうらい]のものより 速[はや]い。	
V0000331478	ハンドバッグを忘れました。	ハンドバッグ	ハンドバッグを 忘[わす]れました。	
V0000331479	成績が上がりました。	成績	成績[せいせき]が 上[あ]がりました。	
V0000331480	弟は切手を集めています。	集める	弟[おとうと]は 切手[きって]を 集[あつ]めています。	
V0000331481	駅前に人が集まっています。	集まる	駅前[えきまえ]に 人[ひと]が 集[あつ]まっています。	
V0000331482	その会社は女性を多く採用している。	採用	その 会社[かいしゃ]は 女性[じょせい]を 多[おお]く 採用[さいよう]している。	
V0000331483	玄関のベルが鳴った。	ベル	玄関[げんかん]のベルが 鳴[な]った。	
V0000331484	来年から給料が上がります。	給料	来年[らいねん]から 給料[きゅうりょう]が 上[あ]がります。	
V0000331485	私は去年、大学を卒業した。	卒業	私[わたし]は 去年[きょねん]、 大学[だいがく]を 卒業[そつぎょう]した。	
V0000331486	最近、若い人たちの就職が難しくなっています。	就職	最近[さいきん]、 若[わか]い 人[ひと]たちの 就職[しゅうしょく]が 難[むずか]しくなっています。	
V0000331487	母が今日退院します。	退院	母[はは]が 今日[きょう] 退院[たいいん]します。	
V0000331488	プリンターのインクを買った。	インク	プリンターのインクを 買[か]った。	
V0000331489	その選手は新しいチームと契約した。	契約	その 選手[せんしゅ]は 新[あたら]しいチームと 契約[けいやく]した。	
V0000331490	今、値段を交渉しています。	交渉	今[いま]、 値段[ねだん]を 交渉[こうしょう]しています。	
V0000331491	その事件の犯人はまだ捕まっていない。	事件	その 事件[じけん]の 犯人[はんにん]はまだ 捕[つか]まっていない。	
V0000331492	この条件では厳し過ぎます。	条件	この 条件[じょうけん]では 厳[きび]し 過[す]ぎます。	
V0000331493	暑いのでクーラーをつけました。	クーラー	暑[あつ]いのでクーラーをつけました。	
V0000331494	明日は市民マラソンに参加します。	参加	明日[あす]は 市民[しみん]マラソンに 参加[さんか]します。	
V0000331495	島の人口は年々増加しています。	増加	島[しま]の 人口[じんこう]は 年々[ねんねん] 増加[ぞうか]しています。	
V0000331496	塩、コショウを加えてください。	加える	塩[しお]、コショウを 加[くわ]えてください。	
